SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
AKASH,EQ, 19-Feb-2021,225.95,234.95,248.5,216.35,248.5,237.85,228.75,86296,197.41,507,67679,78.43,154,20210219
APCOTEXIND,EQ, 19-Feb-2021,177.15,179.2,190.0,177.8,181.0,180.9,184.13,166903,307.32,3504,83564,50.07,153,20210219
NECLIFE,EQ, 19-Feb-2021,19.1,19.3,21.6,19.1,20.6,20.55,20.77,1733924,360.14,4510,736863,42.5,153,20210219
BCG,EQ, 19-Feb-2021,7.65,7.9,7.9,7.65,7.8,7.8,7.79,2673317,208.17,1870,1970220,73.7,153,20210219
BOROLTD,EQ, 19-Feb-2021,201.55,204.9,207.0,197.0,199.85,199.55,202.78,157234,318.83,3725,75082,47.75,152,20210219
HARRMALAYA,EQ, 19-Feb-2021,121.75,121.8,132.5,121.7,123.65,123.45,127.77,479765,613.0,8883,119535,24.92,152,20210219
SETFNIFBK,EQ, 19-Feb-2021,365.22,364.8,365.55,355.67,358.59,357.48,359.13,81814,293.82,1752,42344,51.76,152,20210219
CANTABIL,EQ, 19-Feb-2021,374.65,372.0,390.0,368.0,373.75,370.5,377.88,165942,627.07,7636,40362,24.32,152,20210219
SEAMECLTD,EQ, 19-Feb-2021,458.1,452.6,508.0,452.6,485.0,482.8,489.55,88329,432.41,4634,30994,35.09,151,20210219
HCC,EQ, 19-Feb-2021,8.35,8.3,8.6,8.2,8.25,8.25,8.42,3426865,288.65,4108,1795280,52.39,151,20210219
GALAXYSURF,EQ, 19-Feb-2021,2174.25,2185.7,2205.5,2161.0,2200.0,2192.55,2191.14,11606,254.3,2100,6888,59.35,150,20210219
FAIRCHEMOR,EQ, 19-Feb-2021,669.7,669.7,676.85,651.9,659.0,657.25,667.38,29936,199.79,607,22564,75.37,150,20210219
GIPCL,EQ, 19-Feb-2021,79.15,80.4,81.7,77.3,78.55,78.75,79.85,441776,352.76,4657,188733,42.72,150,20210219
SHK,EQ, 19-Feb-2021,121.15,121.1,121.1,118.55,119.2,119.25,119.85,235287,282.0,4648,125378,53.29,150,20210219
PRIVISCL,EQ, 19-Feb-2021,646.6,631.1,660.0,631.1,640.0,642.65,651.95,33716,219.81,2203,22724,67.4,148,20210219
HITECH,EQ, 19-Feb-2021,314.5,319.9,328.0,316.0,317.0,316.6,321.24,83784,269.15,2162,45961,54.86,147,20210219
TDPOWERSYS,EQ, 19-Feb-2021,159.95,160.45,171.9,158.95,163.0,163.4,166.76,185086,308.64,3769,87835,47.46,146,20210219
MAITHANALL,EQ, 19-Feb-2021,616.15,619.0,619.0,605.0,611.0,609.75,611.33,36031,220.27,1595,23873,66.26,145,20210219
BANCOINDIA,EQ, 19-Feb-2021,153.5,150.65,159.95,149.75,151.1,151.95,154.48,267009,412.49,4645,93762,35.12,144,20210219
