"SYMBOL","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","NO_OF_TRADES","DELIV_PER","DELIV_LACS","DATE"
"RPOWER","7.85","7.83","118624245","36032","32.32","3002","20210525"
"IDEA","8.55","8.54","81688375","127582","35.8","2497","20210525"
"NH","431.7","433.83","602626","10942","88.23","2306","20210525"
"TRENT","824.65","820.03","720336","17450","36.68","2166","20210525"
"RELAXO","1099.15","1078.54","958136","40014","17.48","1806","20210525"
"LALPATHLAB","2773.05","2778.27","210873","19831","28.03","1642","20210525"
"ZYDUSWELL","2116.75","2114.05","74343","2671","87.22","1370","20210525"
"CRISIL","1910.25","1910.01","56499","3263","85.85","926","20210525"
"METROPOLIS","2329.15","2353.65","57941","6445","37.58","512","20210525"
"JKCEMENT","2867.9","2884.1","25619","5102","61.1","451","20210525"
"MAJESCO","76.2","76.29","459440","2551","85.1","298","20210525"
"NETFMID150","97.42","97.64","294692","816","89.65","257","20210525"
"ICICIB22","38.85","38.91","701905","2913","83.16","227","20210525"
"PUNJABCHEM","1155.95","1166.67","21954","949","87.79","224","20210525"
"EBBETF0430","1157.37","1157.48","19729","116","92.0","210","20210525"
