"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"BPCL"," 16-Feb-2021","419.0","417.95","418.35","5397662","22581.17","51091","2660501","49.29","11130"
"SAIL"," 16-Feb-2021","62.7","64.75","65.21","53647015","34983.27","85504","16819635","31.35","10968"
"DLF"," 16-Feb-2021","317.25","319.0","321.05","19300639","61964.79","119353","3373175","17.48","10829"
"TATAPOWER"," 16-Feb-2021","86.7","90.25","88.79","45833754","40696.45","110003","12194287","26.61","10827"
"CROMPTON"," 16-Feb-2021","394.95","397.7","397.82","3872811","15406.85","51402","2719852","70.23","10820"
"ZEEL"," 16-Feb-2021","211.7","206.1","208.06","22889782","47623.91","143366","5144308","22.47","10703"
"NTPC"," 16-Feb-2021","95.2","98.0","97.68","32865663","32104.33","71733","10888936","33.13","10636"
"VOLTAS"," 16-Feb-2021","1058.0","1037.65","1046.09","3350162","35045.85","79748","1015790","30.32","10626"
"M&M"," 16-Feb-2021","911.85","912.2","913.39","4223635","38578.39","89139","1151495","27.26","10517"
"IDEA"," 16-Feb-2021","12.1","11.75","11.9","213050922","25358.06","184217","86893717","40.79","10340"
"ICICIBANK"," 17-Feb-2021","658.35","657.35","657.26","21684753","142524.64","250232","8922984","41.15","58647"
"RELIANCE"," 17-Feb-2021","2059.5","2083.25","2076.99","10957388","227584.23","257784","2784713","25.41","57838"
"SBIN"," 17-Feb-2021","402.35","411.75","410.54","74161370","304461.3","499222","13131429","17.71","53909"
"BHARTIARTL"," 17-Feb-2021","593.95","593.85","594.02","16133750","95837.19","148002","8755001","54.27","52006"
"TCS"," 17-Feb-2021","3108.8","3073.1","3076.93","3678426","113182.62","204277","1516981","41.24","46676"
"KOTAKBANK"," 17-Feb-2021","2019.65","1989.45","2002.36","4395224","88008.06","129674","2241551","51.0","44883"
"HDFCBANK"," 17-Feb-2021","1626.65","1586.5","1602.21","6397213","102496.59","154614","2731632","42.7","43766"
"ADANIPORTS"," 17-Feb-2021","636.55","655.75","658.2","34868085","229501.89","469652","6455210","18.51","42488"
"HDFC"," 17-Feb-2021","2858.65","2805.35","2814.04","2874649","80893.68","105039","1410603","49.07","39694"
"NESTLEIND"," 17-Feb-2021","17217.25","16741.2","16637.7","599343","99716.88","97399","235546","39.3","39189"
"ADANIGREEN"," 17-Feb-2021","1078.3","1104.25","1096.2","6145401","67366.18","77680","3458542","56.28","37912"
"AXISBANK"," 17-Feb-2021","775.05","777.75","776.04","16956357","131588.95","213111","4743230","27.97","36809"
"ASIANPAINT"," 17-Feb-2021","2450.25","2388.15","2404.67","3178784","76439.24","138806","1444831","45.45","34743"
"HINDUNILVR"," 17-Feb-2021","2196.1","2163.9","2174.96","2447956","53242.02","116919","1468089","59.97","31930"
"BAJFINANCE"," 17-Feb-2021","5760.25","5705.15","5734.6","2346395","134556.36","109776","554791","23.64","31815"
"INDUSINDBK"," 17-Feb-2021","1058.25","1033.2","1044.93","13855321","144777.8","233993","3043228","21.96","31799"
"PNB"," 17-Feb-2021","39.5","41.7","41.58","466579666","193988.16","388759","75106379","16.1","31229"
"MARUTI"," 17-Feb-2021","7697.05","7503.2","7564.37","1023548","77424.98","87935","383157","37.43","28983"
"INDUSTOWER"," 17-Feb-2021","247.15","256.55","254.98","15254400","38895.96","106530","11131339","72.97","28382"
"INFY"," 17-Feb-2021","1290.4","1281.3","1283.76","4575741","58741.34","142040","2084387","45.55","26758"
"NAUKRI"," 17-Feb-2021","5095.2","4916.7","4913.25","1714916","84258.12","142162","508234","29.64","24970"
"HEROMOTOCO"," 17-Feb-2021","3461.55","3584.0","3552.31","1946207","69135.23","98269","575591","29.58","20446"
"TCNSBRANDS"," 17-Feb-2021","403.85","442.1","423.17","5587780","23645.73","33226","4530912","81.09","19173"
"TATAMOTORS"," 17-Feb-2021","329.2","330.15","329.78","52150941","171984.63","288923","5743645","11.01","18941"
"MFSL"," 17-Feb-2021","852.75","868.1","870.54","4085783","35568.33","58108","1975093","48.34","17193"
"MOTHERSUMI"," 17-Feb-2021","213.45","227.15","221.41","66461713","147150.7","375087","7586783","11.42","16797"
"DRREDDY"," 17-Feb-2021","4696.6","4600.55","4620.02","1021355","47186.85","54415","360485","35.29","16654"
"BANKBARODA"," 17-Feb-2021","79.7","84.2","83.1","109833018","91269.29","248130","19958786","18.17","16585"
"BRITANNIA"," 17-Feb-2021","3389.45","3364.0","3375.41","866571","29250.31","60384","487023","56.2","16439"
"POWERGRID"," 17-Feb-2021","225.55","230.05","227.98","21957171","50058.97","122400","7174622","32.68","16356"
"HINDALCO"," 17-Feb-2021","302.7","303.9","304.57","18221106","55496.79","129930","5246348","28.79","15978"
"ULTRACEMCO"," 17-Feb-2021","6457.8","6419.2","6454.9","555520","35858.24","60373","236353","42.55","15256"
"ITC"," 17-Feb-2021","218.25","217.75","217.39","19850516","43153.83","125824","6879491","34.66","14955"
"HCLTECH"," 17-Feb-2021","952.3","943.2","946.95","3643176","34498.87","98699","1551623","42.59","14693"
"LT"," 17-Feb-2021","1549.45","1548.35","1553.55","2340184","36355.82","74685","909165","38.85","14124"
"BAJAJFINSV"," 17-Feb-2021","10460.6","10185.65","10260.6","582259","59743.25","57424","136169","23.39","13971"
"TATASTEEL"," 17-Feb-2021","699.2","696.8","695.72","15957483","111019.76","164188","1995610","12.51","13883"
"HAPPSTMNDS"," 17-Feb-2021","403.4","483.35","452.49","13063891","59112.25","201223","2994144","22.92","13548"
