"SYMBOL"," 31-Mar-2020_delta"," 30-Jun-2020_delta"," 30-Sep-2020_delta"," 31-Dec-2020_delta"," 31-Mar-2021_delta","average"
"TATAMOTORS","-61.48007590132827","38.282899366643214","35.67430025445294","37.92198049512376","64.15556159912974","22.910933162804277"
"HDFCLIFE","-28.980609864027677","24.391072844681087","1.8943533697632016","20.933142652842335","2.9120473022912114","4.230001261110031"
"ESCORTS","9.303860112174196","56.95744038635677","26.774038461538467","-4.402897341575331","2.17391304347825","18.161270932394473"
"HCLTECH","-23.699624093015135","27.60082493125574","45.74840621352249","16.57836372597338","3.8577392591026793","14.017142007367829"
"JSWSTEEL","-45.449459157030965","29.470085470085465","46.686031159228946","39.4059405940594","20.98398760330579","18.219317133929728"
"EICHERMOT","-40.677574538635064","40.000305439106896","-87.98536077188658","14.894679498819679","2.88632502271918","-14.176325069975174"
"COALINDIA","-33.923095069591874","-5.141021063905759","-12.683477606322919","16.767241379310335","-3.7652270210409706","-7.7491158763102375"
"CARERATING","-52.02960140679953","28.13502367496562","-16.70044105376088","50.51516886090441","-21.84826012549914","-2.385622010037904"
"ZEEL","-57.05872163519834","38.03953206938281","22.09234365867914","6.988989947343223","-9.082774049217008","0.19587399819796508"
"JUBLFOOD","-11.526320536331662","17.38421285126915","35.72731220147633","19.05858766822361","4.292137649355991","12.987185966798682"
"TATASTEEL","-42.3623730625334","21.179525222551916","10.116314661769211","78.91591382904795","26.13221471296513","18.796319072760163"
"GLAXO","-22.946349235530217","17.830443772864626","6.31411987041038","3.0981176395898773","-11.281135502940364","-1.3969606911211394"
"ADANIGREEN","-12.303290414878399","134.1598694942904","105.54549254563187","42.70607375271148","4.963898916967509","55.01440885894458"
"RBLBANK","-61.057623221727255","28.044280442804425","-2.074927953890487","35.99175985874044","-10.170958666955205","-1.8534939082056177"
"SPICEJET","-68.4278350515464","36.734693877551024","-3.9800995024875623","96.78756476683938","-27.01421800947868","6.820021216175553"
"IRCTC","4.045110393392274","38.277950231540395","1.8658226916424325","3.8872832369942163","22.200584225900684","14.055350155894"
"SUNPHARMA","-18.880957863228183","34.24638092534771","5.8145681361666135","18.363472874413038","0.9200641512619113","8.092705644792218"
"HDFCAMC","-33.5053817586706","17.538337750851934","-8.59725773652526","28.554750313897397","0.034270047978067174","0.804943723506307"
"HINDALCO","-55.342977134857676","52.769070010449305","19.870041039671694","37.26105563480742","35.87611723134484","18.086661356283116"
"SWSOLAR","-76.78975131876413","185.25974025974025","2.754381971317998","15.086397873283126","-0.5004812319538061","25.162057510724686"
"IDFCFIRSTB","-53.930131004366814","21.800947867298568","16.536964980544745","23.706176961602665","50.337381916329306","11.690268144281694"
"BEL","-25.661507738392412","19.0732034922767","8.009024252679069","25.27415143603133","4.293455606502702","6.1976654098194786"
"CIPLA","-11.147299852910267","51.41303062551732","20.999609527528314","5.840970698334838","-0.5914994816757146","13.3029623033589"
"AVANTIFEED","-51.55979916042474","71.45284621920136","-1.4172447968285384","5.097014175128184","-20.70977616223456","0.5726080549683417"
"IBREALEST","-43.14544189283228","19.46144430844552","5.020491803278695","60.39024390243903","-1.3381995133820055","8.077707721589793"
"MARICO","-20.50614605929139","28.03347280334726","3.154305200341013","10.922865013774098","2.148267726313184","4.750552936896833"
