"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"TATASTLLP"," 03-May-2021","895.7","940.45","940.45","36892","346.95","779","36892","100.0","346"
"NCPSESDL24"," 03-May-2021","104.16","104.16","104.25","145111","151.28","18","143921","99.18","150"
"MAN50ETF"," 03-May-2021","150.06","149.5","149.49","66903","100.01","140","65022","97.19","97"
"AHLUCONT"," 03-May-2021","284.55","283.75","284.01","114601","325.48","436","110164","96.13","312"
"PLASTIBLEN"," 03-May-2021","229.75","226.65","228.79","30149","68.98","255","28517","94.59","65"
"JKCEMENT"," 03-May-2021","2806.4","2784.25","2796.07","140057","3916.1","6921","131482","93.88","3676"
"HONDAPOWER"," 03-May-2021","1004.8","999.95","998.83","14294","142.77","596","13206","92.39","131"
"ICICITECH"," 03-May-2021","258.99","258.8","258.59","38713","100.11","537","34663","89.54","89"
"FINCABLES"," 03-May-2021","361.75","362.1","361.42","202695","732.57","2543","180295","88.95","651"
"HDFCNIFETF"," 03-May-2021","155.55","155.69","154.57","14552","22.49","451","12803","87.98","19"
"GOCLCORP"," 03-May-2021","200.85","204.95","204.96","26451","54.21","327","23250","87.9","47"
"KHADIM"," 03-May-2021","138.85","136.0","137.5","88408","121.56","907","76487","86.52","105"
"OBEROIRLTY"," 03-May-2021","547.25","548.15","544.03","395559","2151.96","5813","337971","85.44","1838"
"EBBETF0423"," 03-May-2021","1124.16","1124.48","1124.22","14645","164.64","75","12453","85.03","139"
"AIAENG"," 03-May-2021","1862.75","1825.45","1830.66","48626","890.18","10271","41247","84.82","755"
"ICICINIFTY"," 03-May-2021","156.12","155.95","155.17","488909","758.64","6001","412152","84.3","639"
"ICICILOVOL"," 03-May-2021","117.71","118.37","118.15","155380","183.58","1201","128928","82.98","152"
"PRESTIGE"," 03-May-2021","271.85","266.65","269.26","514167","1384.44","6699","426655","82.98","1148"
"AGARIND"," 03-May-2021","151.7","159.25","158.04","20418","32.27","417","16878","82.66","26"
"OPTIEMUS"," 03-May-2021","133.3","135.85","135.23","45552","61.6","466","37093","81.43","50"
"ORIENTBELL"," 03-May-2021","215.05","221.0","218.18","23740","51.8","293","19193","80.85","41"
"ELECTHERM"," 03-May-2021","109.7","108.0","108.78","24601","26.76","509","19788","80.44","21"
"ATFL"," 03-May-2021","841.9","888.65","861.54","136030","1171.96","3874","108571","79.81","935"
"KARDA"," 03-May-2021","121.3","119.05","118.4","139454","165.11","712","110623","79.33","130"
"PRECOT"," 03-May-2021","116.9","121.75","117.9","21829","25.74","156","17063","78.17","20"
"QUESS"," 03-May-2021","628.3","619.1","620.92","106560","661.65","6351","83250","78.13","516"
"INDIGOPNTS"," 03-May-2021","2315.5","2295.05","2302.64","92921","2139.63","8574","71927","77.41","1656"
"BRIGADE"," 03-May-2021","250.4","250.05","250.15","218465","546.5","7769","168873","77.3","422"
"NAHARSPING"," 03-May-2021","104.8","110.0","109.12","80517","87.86","897","61883","76.86","67"
"KOTAKGOLD"," 03-May-2021","408.35","410.65","410.82","42082","172.88","1138","32005","76.05","131"
"MPSLTD"," 03-May-2021","591.55","619.85","613.45","17682","108.47","923","13395","75.76","82"
"NRAIL"," 03-May-2021","206.35","210.25","209.21","17327","36.25","649","13101","75.61","27"
"GREENPANEL"," 03-May-2021","232.4","235.5","235.04","526611","1237.75","12265","395199","75.05","928"
"GRINDWELL"," 03-May-2021","915.9","922.3","919.74","38742","356.32","1531","29019","74.9","266"
"LIQUIDETF"," 03-May-2021","999.99","1000.0","1000.0","124045","1240.46","73","92735","74.76","927"
"SURYODAY"," 03-May-2021","249.95","250.0","249.02","176698","440.02","4974","131694","74.53","327"
"REPL"," 03-May-2021","196.25","208.3","205.78","21886","45.04","639","16296","74.46","33"
"HERITGFOOD"," 03-May-2021","367.25","362.5","363.3","326487","1186.13","3503","242079","74.15","879"
"GREENPLY"," 03-May-2021","201.0","199.95","200.04","579162","1158.54","5074","428656","74.01","857"
"GTPL"," 03-May-2021","129.0","132.25","132.58","105197","139.47","1566","77247","73.43","102"
"SALZERELEC"," 03-May-2021","119.95","119.75","119.35","60637","72.37","864","44307","73.07","52"
"LUMAXTECH"," 03-May-2021","146.8","143.3","144.02","75991","109.44","2230","55471","73.0","79"
"SETFGOLD"," 03-May-2021","4163.25","4176.45","4182.06","21253","888.81","1263","15487","72.87","647"
"GENESYS"," 03-May-2021","108.55","105.5","106.12","19952","21.17","281","14511","72.73","15"
"IRISDOREME"," 03-May-2021","112.25","109.0","104.85","88098","92.37","1232","64042","72.69","67"
"TIMKEN"," 03-May-2021","1404.15","1370.65","1396.84","91081","1272.26","7571","66168","72.65","924"
"WHIRLPOOL"," 03-May-2021","2221.45","2214.8","2204.55","99333","2189.85","5246","72019","72.5","1587"
"N100"," 03-May-2021","1020.77","1019.6","1021.5","41401","422.91","3027","29905","72.23","305"
"ENIL"," 03-May-2021","146.1","146.0","146.22","24691","36.1","504","17765","71.95","25"
"BCLIND"," 03-May-2021","121.35","125.55","125.57","175196","219.99","1986","125570","71.67","157"
"TATASTLLP"," 04-May-2021","940.45","987.45","987.45","42486","419.53","669","42486","100.0","419"
"EBBETF0425"," 04-May-2021","1037.35","1037.69","1037.99","27334","283.72","60","27194","99.49","282"
"EBBETF0423"," 04-May-2021","1124.48","1124.01","1124.07","30579","343.73","70","30190","98.73","339"
"BAFNAPH"," 04-May-2021","127.05","133.4","133.4","13016","17.36","124","12772","98.13","17"
"AXISNIFTY"," 04-May-2021","151.3","150.8","150.95","17571","26.52","120","17077","97.19","25"
"ICICI500"," 04-May-2021","201.06","203.48","202.82","28021","56.83","157","27070","96.61","54"
"AGCNET"," 04-May-2021","1602.15","1609.65","1618.26","11069","179.13","333","10307","93.12","166"
"AHLUCONT"," 04-May-2021","283.75","281.25","285.69","53472","152.77","860","49743","93.03","142"
"IRISDOREME"," 04-May-2021","109.0","106.15","103.37","249745","258.16","870","228070","91.32","235"
"CHOLAHLDNG"," 04-May-2021","570.1","570.25","570.4","252195","1438.51","4264","227803","90.33","1299"
"IIFL"," 04-May-2021","253.8","252.0","253.27","1088075","2755.78","5659","982178","90.27","2487"
"QUESS"," 04-May-2021","619.1","620.05","620.85","252432","1567.23","3637","225285","89.25","1398"
"SCHAEFFLER"," 04-May-2021","5197.9","5208.75","5203.26","21248","1105.59","1890","18920","89.04","984"
"MAHSCOOTER"," 04-May-2021","3534.6","3576.5","3578.26","27017","966.74","2870","23352","86.43","835"
"AGARIND"," 04-May-2021","159.25","167.2","167.2","32667","54.62","248","27973","85.63","46"
"WESTLIFE"," 04-May-2021","431.2","433.8","434.12","127433","553.21","1736","109113","85.62","473"
"LIQUIDBEES"," 04-May-2021","1000.0","1000.0","1000.0","1059367","10593.71","4042","904016","85.34","9040"
"ICICINIFTY"," 04-May-2021","155.95","154.7","156.13","205404","320.7","2999","174536","84.97","272"
"TCNSBRANDS"," 04-May-2021","501.6","501.25","514.94","501342","2581.6","5138","424413","84.66","2185"
"LIQUIDETF"," 04-May-2021","1000.0","999.99","1000.0","28450","284.5","164","23927","84.1","239"
